date,open,high,low,close,volume
2025-09-08,5.47,5.52,5.45,5.52,84430896.0
2025-09-09,5.5,5.52,5.47,5.5,57293240.0
2025-09-10,5.49,5.5,5.45,5.47,58585292.0
2025-09-11,5.46,5.52,5.44,5.51,84299210.0
2025-09-12,5.51,5.55,5.5,5.52,97786603.0
2025-09-15,5.53,5.57,5.5,5.53,75477279.0
2025-09-16,5.54,5.55,5.48,5.52,72076775.0
2025-09-17,5.52,5.57,5.48,5.56,96761787.0
2025-09-18,5.55,5.55,5.43,5.46,127976121.0
2025-09-19,5.45,5.49,5.44,5.47,71136106.0
2025-09-22,5.47,5.48,5.41,5.42,77441901.0
2025-09-23,5.42,5.46,5.37,5.44,104704749.0
2025-09-24,5.42,5.44,5.38,5.42,84479318.0
2025-09-25,5.42,5.48,5.39,5.39,89542403.0
2025-09-26,5.42,5.44,5.38,5.42,73064584.0
2025-09-29,5.41,5.46,5.36,5.39,125168587.0
2025-09-30,5.4,5.45,5.35,5.43,197409716.0
2025-10-09,5.46,5.72,5.46,5.72,437168350.0
2025-10-10,5.73,5.98,5.68,5.82,479607294.0
2025-10-13,5.68,5.76,5.64,5.72,263192691.0
2025-10-14,5.77,5.82,5.67,5.7,185457286.0
2025-10-15,5.69,5.76,5.63,5.69,138976263.0
2025-10-16,5.67,5.68,5.61,5.65,98859201.0
2025-10-17,5.66,5.68,5.57,5.58,129819425.0
2025-10-20,5.6,5.62,5.52,5.54,133360275.0
2025-10-21,5.54,5.64,5.54,5.62,129775626.0
2025-10-22,5.64,5.66,5.61,5.63,90934076.0
2025-10-23,5.63,5.66,5.58,5.66,94898200.0
2025-10-24,5.67,5.69,5.59,5.62,100000530.0
2025-10-27,5.64,5.72,5.6,5.71,159178092.0
2025-10-28,5.69,5.7,5.6,5.61,143802636.0
2025-10-29,5.6,5.65,5.58,5.64,91320796.0
2025-10-30,5.65,5.74,5.63,5.65,141608585.0
2025-10-31,5.62,5.64,5.54,5.54,183303865.0
2025-11-03,5.55,5.57,5.52,5.54,81577446.0
2025-11-04,5.54,5.56,5.51,5.54,90957528.0
2025-11-05,5.52,5.56,5.49,5.54,72890381.0
2025-11-06,5.55,5.65,5.54,5.58,112706136.0
2025-11-07,5.58,5.6,5.57,5.58,68018211.0
2025-11-10,5.58,5.62,5.57,5.61,84544710.0
2025-11-11,5.62,5.64,5.59,5.62,79721286.0
2025-11-12,5.63,5.64,5.58,5.6,75878480.0
2025-11-13,5.6,5.63,5.59,5.63,72207970.0
2025-11-14,5.62,5.64,5.58,5.58,88413017.0
2025-11-17,5.58,5.59,5.53,5.54,78475646.0
2025-11-18,5.54,5.55,5.46,5.47,96258592.0
2025-11-19,5.48,5.49,5.44,5.47,73965663.0
2025-11-20,5.47,5.53,5.46,5.47,75660938.0
2025-11-21,5.44,5.45,5.34,5.35,158917426.0
2025-11-24,5.36,5.38,5.33,5.36,75000270.0
2025-11-25,5.36,5.39,5.35,5.37,51655405.0
2025-11-26,5.38,5.4,5.35,5.36,51013798.0
2025-11-27,5.35,5.37,5.33,5.34,51027244.0
2025-11-28,5.33,5.36,5.3,5.35,46617961.0
2025-12-01,5.37,5.4,5.36,5.4,60516670.0
2025-12-02,5.38,5.41,5.37,5.4,43544658.0
2025-12-03,5.39,5.42,5.37,5.4,51056411.0
2025-12-04,5.41,5.44,5.39,5.42,56672925.0
2025-12-05,5.41,5.45,5.38,5.44,69878900.0
2025-12-08,5.45,5.46,5.39,5.4,67364596.0
2025-12-09,5.39,5.4,5.32,5.33,96696355.0
2025-12-10,5.32,5.38,5.29,5.36,64110696.0
2025-12-11,5.37,5.38,5.33,5.33,62935939.0
2025-12-12,5.35,5.35,5.31,5.35,72787750.0
2025-12-15,5.33,5.37,5.32,5.33,53635977.0
2025-12-16,5.34,5.35,5.29,5.31,60816296.0
2025-12-17,5.32,5.36,5.27,5.36,73229502.0
2025-12-18,5.34,5.38,5.33,5.37,52303145.0
2025-12-19,5.37,5.4,5.36,5.38,58834063.0
2025-12-22,5.39,5.39,5.36,5.38,50832069.0
2025-12-23,5.4,5.43,5.39,5.4,63214042.0
2025-12-24,5.41,5.45,5.4,5.42,60158479.0
2025-12-25,5.42,5.43,5.39,5.41,49109937.0
2025-12-26,5.4,5.44,5.39,5.43,54418355.0
2025-12-29,5.43,5.51,5.42,5.48,119848878.0
2025-12-30,5.46,5.46,5.39,5.4,95234646.0
2025-12-31,5.4,5.43,5.39,5.41,52112876.0
2026-01-05,5.41,5.43,5.38,5.41,69805936.0
2026-01-06,5.41,5.5,5.4,5.49,114396913.0
2026-01-07,5.51,5.63,5.5,5.56,147001395.0
2026-01-08,5.54,5.61,5.51,5.58,105342222.0
2026-01-09,5.57,5.59,5.53,5.58,93985147.0
2026-01-12,5.58,5.6,5.55,5.58,97307997.0
2026-01-13,5.58,5.63,5.54,5.58,131189278.0
2026-01-14,5.62,5.63,5.46,5.48,215340074.0
2026-01-15,5.48,5.49,5.44,5.45,95664814.0
2026-01-16,5.46,5.65,5.33,5.35,437709757.0
2026-01-19,5.34,5.4,5.3,5.39,151915808.0
2026-01-20,5.37,5.54,5.37,5.54,215060196.0
2026-01-21,5.53,5.55,5.45,5.48,148522820.0
2026-01-22,5.48,5.55,5.37,5.41,259277012.0
2026-01-23,5.42,5.45,5.3,5.31,386187465.0
2026-01-26,5.34,5.84,5.33,5.8,1400726663.0
2026-01-27,5.68,5.72,5.5,5.54,699799699.0
2026-01-28,5.61,6.09,5.6,5.8,1177590151.0
2026-01-29,5.96,6.12,5.69,5.89,1121191592.0
2026-01-30,5.8,6.04,5.67,5.7,658741294.0
2026-02-02,5.6,5.65,5.36,5.37,717073842.0
2026-02-03,5.47,5.54,5.42,5.51,379262365.0
2026-02-04,5.58,5.73,5.58,5.7,490898524.0
2026-02-05,5.65,5.71,5.55,5.57,308223022.0
